                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Georges_Bank              ,  2008,       128.4,       8.625,         9.0,       54.05
Georges_Bank              ,  2009,        67.9,       4.777,        52.7,      175.90
Georges_Bank              ,  2010,       107.1,       7.779,        16.5,       89.70
Georges_Bank              ,  2011,        88.9,       7.325,        29.7,      151.85
Georges_Bank              ,  2012,        92.8,       2.769,        16.5,       31.86
Georges_Bank              ,  2013,       117.4,       3.069,        13.3,       28.54
Georges_Bank              ,  2014,        73.6,       3.313,        24.8,       57.30
Georges_Bank              ,  2015,        83.0,       5.267,        22.8,       83.84
Georges_Bank              ,  2016,        77.2,       8.590,        14.4,       86.13
Georges_Bank              ,  2017,       104.8,       1.636,        28.2,       32.24
Green-St._Pierre_Bank     ,  2003,       104.9,       1.137,        34.0,       26.99
Green-St._Pierre_Bank     ,  2004,        93.7,       1.456,        45.3,       46.11
Green-St._Pierre_Bank     ,  2005,        87.7,       0.933,        33.7,       21.94
Green-St._Pierre_Bank     ,  2006,       101.9,       2.670,        24.7,       46.11
Green-St._Pierre_Bank     ,  2007,        98.4,       1.516,        30.2,       32.00
Green-St._Pierre_Bank     ,  2008,        93.0,       0.481,        53.3,       17.88
Green-St._Pierre_Bank     ,  2009,       100.7,       1.349,        21.4,       20.19
Green-St._Pierre_Bank     ,  2010,        47.9,       1.068,        83.5,       62.25
Green-St._Pierre_Bank     ,  2011,        92.4,       2.048,        26.1,       37.32
Green-St._Pierre_Bank     ,  2012,        98.1,       4.323,        12.9,       39.01
Green-St._Pierre_Bank     ,  2013,       104.0,       1.821,        12.7,       16.11
Green-St._Pierre_Bank     ,  2014,       114.9,       1.762,        21.4,       26.28
Green-St._Pierre_Bank     ,  2015,       104.0,       0.498,        29.2,       10.14
Green-St._Pierre_Bank     ,  2016,       111.6,       2.217,        18.9,       29.28
Green-St._Pierre_Bank     ,  2017,       108.9,       2.568,        26.1,       46.80
Hamilton_Bank             ,  2003,       137.0,       1.920,        30.9,       41.38
Hamilton_Bank             ,  2004,       138.3,       0.807,        36.2,       20.37
Hamilton_Bank             ,  2005,       125.6,       3.658,        12.2,       31.08
Hamilton_Bank             ,  2006,       108.0,       2.550,        36.5,       65.00
Hamilton_Bank             ,  2007,       150.2,       0.660,        22.9,       10.55
Hamilton_Bank             ,  2008,       112.9,       1.079,        54.5,       41.07
Hamilton_Bank             ,  2009,       153.8,       2.188,        23.6,       35.98
