"parameter","section","year","anomaly"
"CALFIN","S27",2016,-2.12183972053655
"CALFIN","S27",2017,-0.457954698160351
"CALFIN","S27",2018,-0.559360870445245
"CALFIN","S27",2019,-1.3988845412774
"PSEUSP","SI",1999,-1.57887019464446
"PSEUSP","SI",2000,-1.08562884753291
"PSEUSP","SI",2001,-0.962999256686187
"PSEUSP","SI",2002,-0.480335542867077
"PSEUSP","SI",2003,0.574499618171028
"PSEUSP","SI",2004,2.08298906756316
"PSEUSP","SI",2005,1.48987358085897
"PSEUSP","SI",2006,1.24946522597096
"PSEUSP","SI",2007,0.587543315171942
"PSEUSP","SI",2008,-0.745349540243396
"PSEUSP","SI",2009,-0.0286065387904554
"PSEUSP","SI",2010,-0.481599469750288
"PSEUSP","SI",2011,-0.51620967380308
"PSEUSP","SI",2012,-0.358867967867552
"PSEUSP","SI",2013,0.104800638084659
"PSEUSP","SI",2014,-0.690144117690766
"PSEUSP","SI",2015,0.839439704055443
"PSEUSP","SI",2016,0.554324401327633
"PSEUSP","SI",2017,0.0549007175551444
"PSEUSP","SI",2018,-0.930024945571172
"PSEUSP","SI",2019,0.208621449743544
"PSEUSP","BB",1999,-1.65470838332737
"PSEUSP","BB",2000,-1.29064968287047
"PSEUSP","BB",2001,-0.244257803261256
"PSEUSP","BB",2002,-0.709263466093471
"PSEUSP","BB",2003,1.00708425353745
"PSEUSP","BB",2004,-0.305530273261416
"PSEUSP","BB",2005,-0.255861416471558
"PSEUSP","BB",2006,0.752649280219646
"PSEUSP","BB",2007,-1.01368665196495
"PSEUSP","BB",2008,-0.517462512244351
"PSEUSP","BB",2009,0.799243627176515
"PSEUSP","BB",2010,1.55456336903582
"PSEUSP","BB",2011,-0.770757441282569
"PSEUSP","BB",2012,-0.650176230927035
"PSEUSP","BB",2013,1.37520431640148
"PSEUSP","BB",2014,0.657642580244545
"PSEUSP","BB",2015,1.26596643508899
"PSEUSP","BB",2016,-0.0974019671542
"PSEUSP","BB",2017,0.599022630247077
"PSEUSP","BB",2018,-0.402241169695733
"PSEUSP","BB",2019,0.283982268409375
"PSEUSP","FC",1999,-2.62350364646738
"PSEUSP","FC",2000,-0.161672965056252
"PSEUSP","FC",2001,0.346128078695357
"PSEUSP","FC",2002,0.35546604659882
"PSEUSP","FC",2003,-1.6441837627091
"PSEUSP","FC",2004,-0.452728489982804
"PSEUSP","FC",2005,-0.468084814346567
"PSEUSP","FC",2006,0.628297457904061
"PSEUSP","FC",2007,0.05161711569344
"PSEUSP","FC",2008,-0.0231873519420985
"PSEUSP","FC",2009,0.219170384429796
"PSEUSP","FC",2010,0.737291725897363
"PSEUSP","FC",2011,-0.539806349777318
"PSEUSP","FC",2012,0.312605772738441
"PSEUSP","FC",2013,0.597484455537991
"PSEUSP","FC",2014,0.86863953861306
"PSEUSP","FC",2015,1.7964668041732
"PSEUSP","FC",2016,1.5672132156704
"PSEUSP","FC",2017,0.611033404707291
"PSEUSP","FC",2018,0.463833714470453
"PSEUSP","FC",2019,-0.132005870856535
"PSEUSP","SEGB",1999,-3.16375700797943
"PSEUSP","SEGB",2000,0.420858507532816
"PSEUSP","SEGB",2001,-0.540293392336682
"PSEUSP","SEGB",2002,-0.117195186305017
"PSEUSP","SEGB",2003,-0.634852628334882
"PSEUSP","SEGB",2004,-0.0126260327151678
"PSEUSP","SEGB",2005,0.134749854386089
"PSEUSP","SEGB",2006,-0.806284528725386
"PSEUSP","SEGB",2007,-0.11411052120748
"PSEUSP","SEGB",2008,-0.165247158052986
"PSEUSP","SEGB",2009,0.509674032681414
"PSEUSP","SEGB",2010,0.595445119162536
"PSEUSP","SEGB",2011,1.20754379647597
"PSEUSP","SEGB",2012,0.225279928406716
"PSEUSP","SEGB",2013,0.41028760715142
"PSEUSP","SEGB",2014,0.992192379750741
"PSEUSP","SEGB",2015,1.05833523010936
"PSEUSP","SEGB",2016,1.86468740901889
"PSEUSP","SEGB",2017,1.29900031096511
"PSEUSP","SEGB",2018,2.05399431143851
"PSEUSP","S27",1999,-1.23801773877913
"PSEUSP","S27",2000,0.498984125983479
"PSEUSP","S27",2001,-0.0752693647196625
"PSEUSP","S27",2002,0.148152157591795
"PSEUSP","S27",2003,-0.205067216702069
"PSEUSP","S27",2004,-1.5385568650384
"PSEUSP","S27",2005,-0.750382202915394
"PSEUSP","S27",2006,-1.04794684644377
"PSEUSP","S27",2007,0.135770582503608
"PSEUSP","S27",2008,-1.25420681187122
"PSEUSP","S27",2009,1.45663795844098
"PSEUSP","S27",2010,0.498894916463411
"PSEUSP","S27",2011,-0.241503870433129
"PSEUSP","S27",2012,-0.244311144937111
"PSEUSP","S27",2013,0.4368691588719
"PSEUSP","S27",2014,1.73417738655372
"PSEUSP","S27",2015,1.68577577543098
"PSEUSP","S27",2016,1.23480335014666
"PSEUSP","S27",2017,0.934364104835305
"PSEUSP","S27",2018,0.821524956394308
"PSEUSP","S27",2019,0.566779852901683
"zp_biomass","S27",1998,-0.631738732137038
"zp_biomass","S27",1999,-0.0175633064652426
"zp_biomass","S27",2000,1.00218348507793
"zp_biomass","S27",2001,1.41620550949373
"zp_biomass","S27",2002,1.59792419054892
"zp_biomass","S27",2003,-0.0964354594271921
"zp_biomass","S27",2004,1.29913760165107
"zp_biomass","S27",2005,0.352791686722047
"zp_biomass","S27",2006,-0.188944161658876
"zp_biomass","S27",2007,0.544300686211005
"zp_biomass","S27",2008,-1.28844728408263
"zp_biomass","S27",2009,0.132222450408498
"zp_biomass","S27",2010,0.107511829827699
"zp_biomass","S27",2011,-0.589250764959617
"zp_biomass","S27",2012,-1.82370804660929
"zp_biomass","S27",2013,-1.31176615173454
"zp_biomass","S27",2014,-1.09458296308
"zp_biomass","S27",2015,-0.0415793019234983
"zp_biomass","S27",2016,-0.453229340684529
"zp_biomass","S27",2017,0.25659964608152
"zp_biomass","S27",2018,0.184837476891771
"zp_biomass","S27",2019,-2.118625177694
"zp_biomass","SI",1999,0.190195739622726
"zp_biomass","SI",2000,-2.8171762031425
"zp_biomass","SI",2001,-0.685052513040956
"zp_biomass","SI",2002,1.27860747565029
"zp_biomass","SI",2003,0.873016296236435
"zp_biomass","SI",2004,-0.0408445556576105
"zp_biomass","SI",2005,0.908564141666316
"zp_biomass","SI",2006,0.692342300594179
"zp_biomass","SI",2007,1.16441927040612
"zp_biomass","SI",2008,-0.0199323928643332
"zp_biomass","SI",2009,-0.209025446262519
"zp_biomass","SI",2010,0.605723967244649
"zp_biomass","SI",2011,0.0608694639320159
"zp_biomass","SI",2012,-0.557696293211132
"zp_biomass","SI",2013,0.333488546256873
"zp_biomass","SI",2014,-1.09123086689855
"zp_biomass","SI",2015,-0.686268930532007
"zp_biomass","SI",2016,0.750933103096383
"zp_biomass","SI",2017,-0.729247415236643
"zp_biomass","SI",2018,1.4528944986274
"zp_biomass","BB",1999,-0.773246932249852
"zp_biomass","BB",2000,-1.86481286353659
"zp_biomass","BB",2001,-1.81885413358814
"zp_biomass","BB",2002,0.337444336444685
"zp_biomass","BB",2003,0.859508787629054
"zp_biomass","BB",2004,1.64474333545797
"zp_biomass","BB",2005,0.540390575439688
"zp_biomass","BB",2006,0.588140077960336
"zp_biomass","BB",2007,0.545277042543023
"zp_biomass","BB",2008,-0.339099104896287
"zp_biomass","BB",2009,0.295922033404436
"zp_biomass","BB",2010,1.44353752720707
"zp_biomass","BB",2011,0.156186474203269
"zp_biomass","BB",2012,-0.554000658897792
"zp_biomass","BB",2013,0.503174272799799
"zp_biomass","BB",2014,-0.661986085631817
"zp_biomass","BB",2015,-0.902324684288839
"zp_biomass","BB",2016,0.588829863707482
"zp_biomass","BB",2017,0.23859737375821
"zp_biomass","BB",2018,0.675865689110593
"zp_biomass","BB",2019,0.439447101455368
"zp_biomass","FC",1999,-1.41224830171318
"zp_biomass","FC",2000,-1.57040807587222
"zp_biomass","FC",2001,-0.231366652244914
"zp_biomass","FC",2002,2.94514744374285
"zp_biomass","FC",2003,0.208489789200757
"zp_biomass","FC",2004,-0.38039902235418
"zp_biomass","FC",2005,-0.392261560341037
"zp_biomass","FC",2006,0.168958999847514
"zp_biomass","FC",2007,-0.249734560856727
"zp_biomass","FC",2008,-0.417732139282533
"zp_biomass","FC",2009,0.711284687337791
"zp_biomass","FC",2010,1.07173411988493
"zp_biomass","FC",2011,0.243535268028421
"zp_biomass","FC",2012,-0.625880407169875
"zp_biomass","FC",2013,-0.209440294367405
"zp_biomass","FC",2014,-0.0801862686632668
"zp_biomass","FC",2015,0.220506974823053
"zp_biomass","FC",2016,1.34029035128495
"zp_biomass","FC",2017,0.551010936100556
"zp_biomass","FC",2018,0.588864054737662
"zp_biomass","FC",2019,-0.327079030057163
"zp_biomass","SEGB",1999,-1.0583810980972
"zp_biomass","SEGB",2000,-0.674326147281494
"zp_biomass","SEGB",2001,-2.07905713026616
"zp_biomass","SEGB",2002,1.37513482720651
"zp_biomass","SEGB",2003,0.967736304207589
"zp_biomass","SEGB",2004,0.701484283580898
"zp_biomass","SEGB",2005,0.0620300621239396
"zp_biomass","SEGB",2006,1.35683744389126
"zp_biomass","SEGB",2007,1.22782606277758
"zp_biomass","SEGB",2008,-0.0299615751020404
"zp_biomass","SEGB",2009,0.18415515585641
"zp_biomass","SEGB",2010,-0.274983178910306
"zp_biomass","SEGB",2011,0.69472050521932
"zp_biomass","SEGB",2012,0.349487362758055
"zp_biomass","SEGB",2013,-0.872275906329327
"zp_biomass","SEGB",2014,-1.17885947247574
"zp_biomass","SEGB",2015,-0.751567499159308
"zp_biomass","SEGB",2016,-0.823430772233335
"zp_biomass","SEGB",2017,2.4006691142524
"zp_biomass","SEGB",2018,1.08795193286934
"chla0_100","SI",1999,2.22545109064745
"chla0_100","SI",2000,0.536121602153634
"chla0_100","SI",2001,1.22207140979756
"chla0_100","SI",2002,1.06348154923384
"chla0_100","SI",2003,-0.638784164698256
"chla0_100","SI",2004,0.190651179653112
"chla0_100","SI",2005,0.267095046407099
"chla0_100","SI",2006,0.877277211554071
"chla0_100","SI",2007,-0.956167788949989
"chla0_100","SI",2008,-0.499610032203593
"chla0_100","SI",2009,0.297498381684587
"chla0_100","SI",2010,-0.0529348228072635
"chla0_100","SI",2011,-1.73907597192468
"chla0_100","SI",2012,-0.942395780807716
"chla0_100","SI",2013,-0.587965655014684
"chla0_100","SI",2014,-0.111959891261705
"chla0_100","SI",2015,-1.15075336346347
"chla0_100","SI",2016,-1.22067022973081
"chla0_100","SI",2017,0.791068243363145
"chla0_100","SI",2018,1.09646955976851
"chla0_100","SI",2019,1.53343471448694
"chla0_100","BB",1999,0.472662589379764
"chla0_100","BB",2000,1.13809803304291
"chla0_100","BB",2001,0.847215157183695
"chla0_100","BB",2002,-0.0875740129395852
"chla0_100","BB",2003,-0.575230065463667
"chla0_100","BB",2004,0.551342756364862
"chla0_100","BB",2005,0.762887616569188
"chla0_100","BB",2006,0.919328319024607
"chla0_100","BB",2007,0.329965598295733
"chla0_100","BB",2008,0.121950717519504
"chla0_100","BB",2009,1.15346375591378
"chla0_100","BB",2010,0.343353256413622
"chla0_100","BB",2011,-2.48954274686954
"chla0_100","BB",2012,-0.79211649310422
"chla0_100","BB",2013,-0.323430521536822
"chla0_100","BB",2014,-0.751576650876055
"chla0_100","BB",2015,-1.62079730891778
"chla0_100","BB",2016,-2.49515228321367
"chla0_100","BB",2017,0.455789068488811
"chla0_100","BB",2018,-0.377780797303386
"chla0_100","BB",2019,-0.352105435602578
"chla0_100","FC",1999,2.38359905995507
"chla0_100","FC",2000,0.42357332496846
"chla0_100","FC",2001,0.36208181765466
"chla0_100","FC",2002,-0.999403969750265
"chla0_100","FC",2003,-0.408431178818079
"chla0_100","FC",2004,0.305115179357026
"chla0_100","FC",2005,0.835706720513507
"chla0_100","FC",2006,0.406113584562916
"chla0_100","FC",2007,0.437592415220414
"chla0_100","FC",2008,0.259721886701732
"chla0_100","FC",2009,0.611705783417272
"chla0_100","FC",2010,0.474389733682796
"chla0_100","FC",2011,-1.8766025740136
"chla0_100","FC",2012,-0.69079651543207
"chla0_100","FC",2013,-0.421338416481073
