bin,sst
19360215,18.79983
19360216,18.76444
19360217,18.68402
19360218,18.89899
19360219,19.29111
19360220,19.31641
19360221,19.31382
19360222,19.37533
19360223,19.28112
19360224,19.20462
19360225,19.12423
19360226,19.08846
19360227,19.09665
19360228,19.26954
19360229,19.25642
19360230,19.34148
19360231,19.06770
19360232,18.78694
19360233,18.89533
19360234,18.96811
19360235,18.86295
19360236,18.86162
19360237,19.08275
19360238,19.04085
19360239,19.03810
19360240,18.79355
19360241,18.89166
19360242,19.01509
19360243,19.06531
19360244,18.94628
19360245,18.97268
19360246,19.13869
19360247,19.14935
19360248,19.23091
19360249,19.25515
19360250,19.46179
19360251,19.46738
19360252,19.33970
19360253,19.62750
19360254,19.80125
19360255,19.83469
19360256,19.75912
19360257,19.09479
19360258,19.36583
19360259,19.28687
19360260,19.26333
19360261,19.37800
19360262,19.62167
19360263,18.66000
19360264,19.08678
19366332,4.18500
19366333,2.89557
19366334,6.18333
19366335,5.48226
19366336,5.47467
19366337,5.73183
19366338,3.56750
19366353,4.97750
19366354,5.28255
19366355,5.52995
19366356,6.07254
19366357,6.09894
19366358,5.54765
19366359,4.86541
19366360,4.96790
19366361,5.02808
19366362,3.51000
19366365,7.80179
19366366,7.95372
19366367,7.86739
19366368,7.94417
19366369,8.19586
19366370,8.39415
19366371,8.67208
19366372,8.92983
19366373,9.17465
19366374,9.40405
19366375,9.73522
19366376,9.86208
19366377,10.06887
19366378,10.21559
19366379,10.40521
19366380,10.57356
19366381,10.90357
19366382,11.11104
19366383,11.26369
19366384,11.34078
19366385,11.49200
19366386,11.74599
19366387,12.07933
19366388,12.17647
19366389,12.22876
19366390,12.28916
19366391,12.43230
19366392,12.61687
19366393,12.88443
19366394,13.46644
19366395,13.52018
19366396,13.81507
19366397,14.02482
19366398,14.07385
19366399,14.48779
19366400,14.85182
19366401,14.60043
19366402,15.10042
19366403,15.67641
19366404,15.60925
19366405,15.63580
19366406,15.59162
19366407,15.52058
19366408,15.85750
19366409,16.20618
19366410,16.07525
19366411,16.15982
19366412,16.16777
19366413,16.25675
19366414,16.37645
19366415,16.81453
19366416,17.15602
19366417,17.24466
19366418,16.96797
19366419,16.72064
19366420,16.22889
19366421,15.88160
19366422,18.34128
19366423,18.29866
19366424,19.00147
19366425,19.02108
19366426,18.66821
19366427,20.18895
19366428,19.05005
19366429,19.47842
19366430,20.09400
19366431,20.23395
19366432,20.24500
19366433,19.22142
19366434,19.95795
19366435,19.83921
19366436,20.53950
19366437,21.13357
19366438,21.61056
19366439,21.39417
19366440,20.77473
19366441,20.58605
19366442,20.54088
19366443,19.74346
19366444,20.73700
19366445,21.69094
19366446,21.83310
19366447,20.79661
19366448,21.53089
19366449,21.22786
19366450,21.54872
19366451,21.96648
19366452,21.87332
19366453,21.80023
19366454,20.74246
19366455,20.95498
19366456,20.99053
19366457,21.15713
19366458,21.13713
19366459,21.51846
19366460,21.80119
19366461,21.88250
19366462,19.91500
19366463,17.88500
19366464,18.87538
19366465,18.68187
19366466,17.79913
19366467,18.26250
19366468,18.20594
19366469,18.21692
19366470,18.23467
19366471,18.31800
19366472,18.34667
19366473,18.28167
19366474,18.40750
19366475,18.30166
19366476,18.24611
19366477,18.33600
19366478,18.42000
19366480,18.40250
19366482,16.66579
19366483,18.40147
19366484,18.33947
19366485,18.35000
19366486,18.28500
19366487,17.94278
19366489,18.18719
19366490,18.18618
19366491,17.63754
19366492,17.65759
19366493,18.22139
19366494,18.15000
19366495,18.03848
19366496,17.85538
19366497,19.20000
19366498,18.52000
19366499,18.50000
19366500,16.14500
19366506,15.63000
19366507,14.66158
19366508,14.90487
19366509,15.78833
19366510,16.14125
19366511,16.08526
19366512,17.92169
19366513,17.13975
19366514,16.23100
19366515,16.06278
19366516,16.15469
19366517,17.88047
19366518,18.58244
19366519,20.66064
19366520,21.04296
19366521,21.97100
19366522,21.22739
19366523,22.10062
19366524,22.13500
19366525,22.00500
19366526,21.15000
19366527,16.94019
19366528,18.03945
19366529,17.99710
19366530,16.83287
19366531,15.96396
19366532,17.54900
19366533,17.41125
19366534,17.37417
19366535,17.48300
19366536,21.17750
19366539,12.99667
19366540,13.29900
19366541,13.89125
19366542,16.03500
19366543,15.60500
19366544,16.15315
19366545,17.67000
19366547,22.76714
19366548,22.71500
19366549,16.80091
19366550,16.72125
19366551,16.41875
19366552,15.86700
19366553,15.66500
19366554,15.62750
19366555,16.15400
19366556,16.49750
19366557,16.79333
19366559,16.84500
19366561,18.91500
19366562,21.86167
19366563,17.51765
19366569,18.08687
19366570,22.25500
19366571,22.16500
19366572,22.53425
19366573,22.40965
19366574,19.87500
19366575,23.29500
19366584,22.47500
19366585,22.67143
19366586,22.83929
19366588,20.91000
19366589,21.93666
19366590,21.86079
19366591,21.93143
19366592,21.88600
19366593,21.89667
19366594,22.08164
19366595,22.19721
19366596,22.20342
19366597,22.02523
19366598,21.67989
19366599,21.67988
19366600,21.48630
19366601,21.62925
19366602,21.34900
19366603,22.89500
19366604,22.91861
19366605,22.96850
19366606,22.60040
19366607,22.33202
19366608,22.33264
19366609,22.35197
19366610,22.01375
19366611,21.76000
19366612,22.53500
19366613,22.69000
19366614,21.80640
19366615,21.62500
19366616,21.53778
19366617,21.51421
19366618,21.31138
19366619,21.84769
19366620,21.73879
19366621,21.82515
19366622,22.05172
19366623,22.02265
19366624,22.01376
19366625,21.78000
19366626,21.64000
19366627,18.89500
19366628,21.81143
19366629,21.82286
19366630,19.62600
19366631,20.29545
19366632,21.02718
19366633,21.22000
19366634,21.60750
19366635,21.67125
19366636,20.75640
19366637,19.19875
19366638,21.17250
19366639,20.92800
19366640,19.50238
19366641,19.52229
19366642,18.97855
19366643,18.39630
19366644,18.54706
19366645,20.25833
19366646,20.25515
19366647,19.22919
19366648,18.75625
19366649,19.28727
19366650,19.71136
19366651,19.87477
19366652,19.89152
19366653,19.72919
19366654,19.51704
19366655,19.16387
19366656,19.08929
19366657,19.58871
19366658,20.43836
19366659,20.94848
19366660,20.24506
19366661,20.12417
19366662,21.03376
19366663,21.07094
19366664,21.32886
19366665,21.96500
19366666,21.60500
19366667,21.32278
19366668,21.16937
19366669,22.05000
19366670,23.25833
19366671,23.51250
19366672,22.80769
19366673,22.59829
19366674,22.03668
19366675,21.98387
19366676,21.91936
19366677,22.58487
19366678,22.63847
19366679,22.56693
19366680,22.56705
19366681,22.60445
19366682,22.67814
19366683,22.86066
19366684,22.85029
19366685,22.33544
19366686,23.03583
19366687,23.40250
19366688,23.41375
19366689,22.62781
19366690,23.12436
19366691,22.69125
19366692,22.70753
19366693,23.78188
19366694,23.86357
19366695,23.03602
19366696,22.16522
19366697,22.61355
19366698,23.12792
19366699,22.64976
19366700,22.30740
19366701,21.37400
19366702,21.31000
19366703,21.55089
19366704,21.78325
19366705,21.75204
19366706,20.87300
19366707,21.06166
19366709,21.89166
19366710,21.37000
19366711,20.79167
19366712,20.69174
19366713,20.36342
19366714,20.49404
19366715,20.83879
19366716,20.85595
19366717,20.78735
19366718,20.67923
19366719,20.59546
19366720,20.80352
19366721,20.68508
19366722,20.62057
19366723,20.65854
19366724,20.95333
19366725,21.12262
19366726,21.38708
19366727,20.84508
19366728,20.78224
19366729,20.75656
19366730,20.91035
19366731,20.94500
19366732,20.92226
19366733,20.94375
19366734,20.48907
19366735,20.49027
19366736,21.06050
19366737,20.98350
19366738,20.74750
19366739,20.56500
19366740,20.62785
19366741,20.87244
19366742,20.94500
19366743,21.04667
19366744,20.52875
19366745,20.38500
19366746,20.35000
19366747,20.78809
19366748,20.55154
19366749,20.30685
19366750,20.28598
19366751,20.27261
19366752,20.35937
19366753,20.33411
19366754,20.01948
19366755,20.18587
19366756,20.05679
19366757,20.31476
19366758,20.36506
19366759,20.32698
19366760,20.53117
19366761,20.71728
19366762,20.78140
19366763,20.86560
19366764,20.82050
19366765,20.67442
19366766,20.96792
19366767,21.06720
19366768,21.11881
19366769,20.98504
19366770,20.94851
19366771,20.94159
19366772,20.86638
19366773,20.87672
19366774,20.98489
19366775,20.88031
19366776,20.93986
19366777,21.22220
19366778,21.17429
19366779,21.07690
19366780,20.91838
19366781,20.36476
19366782,20.26450
19366783,19.48818
19366784,19.48555
19366785,19.39061
19366786,19.05980
19366787,18.97595
19366788,18.86666
19366789,18.58143
19366790,18.98080
19366791,18.93139
19366792,18.80453
19366793,18.65197
19366794,18.63194
19366795,18.65602
19366796,18.80013
19366797,18.52063
19366798,18.08283
19366799,18.61643
19366800,18.70394
19366801,18.41771
19366802,18.38327
19366803,18.55952
19366804,18.90155
19366805,18.96617
19366806,19.06922
19366807,19.19826
19366808,19.44742
19366809,19.67250
19366810,19.68481
19366811,19.62771
19366812,19.63805
19366813,19.61141
19366814,19.49858
19366815,19.53948
19366816,19.73625
19366817,20.09213
19366818,20.14595
19366819,20.25725
19366820,20.41244
19366821,20.60333
19366822,20.83568
19366823,21.01694
19366824,21.27139
19366825,21.88140
19366826,22.07753
19366827,22.12676
19366828,22.45312
19366829,22.53187
19366830,20.74250
19366831,21.04000
19366833,20.51000
19366834,20.48125
19366835,20.69385
19366836,20.71077
19366837,20.89636
19366838,20.93862
19366839,20.69501
19366840,20.37625
19366841,20.15500
19366842,19.97000
19366844,20.83500
19366845,20.67900
19366846,20.68214
19366847,20.73583
19366848,20.74916
19366849,20.94389
19366850,20.76375
19366851,20.84625
19366852,20.66500
19366853,20.40706
19366854,20.17885
19366855,20.28911
19366856,20.31665
19366857,20.59622
19366858,20.72600
19366859,20.74542
19366860,20.64315
19366861,20.59446
19366862,20.39167
19366863,20.39708
19366864,20.44333
19366865,20.27750
19366866,20.16406
19366867,20.23518
19366868,20.06271
19366869,20.03462
19366870,20.09742
19366871,19.81310
19366872,19.55497
19366873,19.59731
19366874,19.89683
19366875,19.52840
19366876,18.27168
19366877,18.69437
19366878,18.63533
19366879,19.00424
19366880,18.28640
19366881,18.89451
19366882,19.08853
19366883,18.63480
19366884,18.27434
19366885,18.42986
19366886,17.83457
19366887,17.79297
19366888,17.74652
19366889,17.87530
19366890,17.82668
19366891,17.90560
19366892,17.68252
19366893,17.50411
19366894,17.53319
19366895,17.65968
19366896,17.56718
19366897,17.49736
19366898,17.36563
19366899,17.46944
19366900,17.59057
19366901,17.26866
19366902,17.71257
19366903,17.77979
19366904,17.64378
19366905,17.61600
19366906,17.47244
19366907,17.72348
19366908,18.07459
19366909,18.02977
19366910,17.95126
19366911,18.07951
19366912,17.93329
19366913,18.08267
19366914,18.06695
19366915,18.05151
19366916,18.21647
19366917,18.19219
19366918,18.25844
19366919,18.42977
19366920,18.38900
19366921,18.57037
19366922,18.64024
19366923,18.71123
19366924,18.81996
19366925,18.92851
19366926,19.02643
19366927,18.98864
19366928,18.85688
19366929,18.85199
19366930,19.07054
19366931,19.18045
19366932,19.28931
19366933,19.24655
19366934,19.12125
19366935,19.11500
19366936,19.12770
19366937,19.05643
19366938,19.08473
19366939,18.97254
19366940,19.18727
19366941,19.11734
19366942,19.06871
19366943,18.88049
19366944,18.94113
19366945,19.14829
19366946,19.00286
19366947,18.91327
19366948,18.91543
19366949,19.05072
19366950,19.01737
19366951,18.96093
19366952,18.94887
19366953,18.98193
19366954,19.09514
19366955,18.93674
19366956,18.85590
19366957,18.94426
19366958,19.15015
19366959,19.26182
19366960,19.13956
19366961,19.22779
19366962,19.37070
19366963,19.25058
19366964,19.60604
19366965,19.74375
19366966,19.40000
19366967,19.56529
19366968,19.86842
19366969,19.45255
19366970,19.50700
19366971,18.96130
19366972,19.38375
19366973,19.33167
19366974,19.40656
19366975,19.35067
19373042,5.13663
19373043,5.49852
19373044,5.60491
19373045,5.07750
19373046,3.76000
19373061,4.80968
19373062,5.23300
19373063,5.21007
19373064,5.73816
19373065,5.51239
19373066,5.47383
19373067,5.21428
19373068,5.00734
19373069,4.73989
19373070,3.91875
19373072,4.12500
19373074,7.63740
19373075,7.78240
19373076,7.91444
19373077,8.06404
19373078,8.40417
19373079,8.53724
19373080,8.73172
19373081,8.95046
19373082,9.23793
19373083,9.41126
19373084,9.82110
19373085,9.96541
19373086,10.04896
19373087,10.25791
19373088,10.50590
19373089,10.74567
19373090,10.93420
19373091,11.09810
19373092,11.20182
19373093,11.42291
19373094,11.56110
19373095,11.88146
19373096,12.10664
19373097,12.16634
19373098,12.18843
19373099,12.38524
19373100,12.60198
19373101,12.82940
19373102,13.23594
19373103,13.52412
19373104,13.82415
19373105,13.91316
19373106,13.90960
19373107,14.54281
19373108,14.72880
19373109,14.75488
19373110,14.50645
19373111,15.37976
19373112,15.54962
19373113,15.56964
19373114,15.55423
19373115,15.47457
19373116,15.91631
19373117,16.17786
19373118,16.06536
19373119,16.08014
19373120,16.16271
19373121,16.18691
19373122,16.26263
19373123,16.40764
19373124,17.37000
19373125,17.27993
19373126,17.30050
19373127,16.61971
19373128,16.42355
19373129,17.29678
19373130,17.98297
19373131,18.23216
19373132,19.33229
19373133,19.07600
19373134,18.41318
19373135,18.55429
19373136,18.69235
19373137,20.19273
19373138,18.63137
19373139,19.17817
19373140,19.22635
19373141,20.44225
19373142,20.12735
19373143,20.03025
19373144,20.75025
19373145,20.95853
19373146,21.39150
19373147,21.36300
19373148,20.85421
19373149,21.04816
19373150,20.67666
19373151,19.62000
19373152,21.59278
19373153,21.72559
19373154,20.69428
19373155,20.79423
19373156,21.02658
19373157,21.38238
19373158,21.34857
19373159,21.99159
19373160,21.67302
19373161,21.71145
19373162,21.96901
19373163,21.04347
19373164,21.46387
19373165,21.05037
19373166,21.22633
19373167,21.21628
19373168,21.11606
19373169,21.63200
19373170,20.09500
19373171,19.13333
19373172,19.00333
19373173,18.60618
19373174,18.25192
19373175,18.17188
19373176,18.28800
19373177,18.25500
19373178,18.24050
19373179,18.21900
19373180,18.13035
19373181,18.17000
19373182,19.01625
19373183,18.30100
19373184,18.02750
19373185,18.46500
19373186,18.56833
19373187,18.19750
19373189,17.16100
19373191,18.31126
19373192,18.44970
19373193,17.97707
19373194,16.54000
19373195,17.89500
19373196,18.10167
19373197,18.14432
19373198,18.22000
19373199,17.72516
19373200,17.96558
19373201,17.92281
19373202,18.38031
19373203,18.94437
19373204,19.35542
19373205,19.33834
19373206,18.90125
19373207,18.95500
19373209,13.94000
19373214,15.67398
19373215,15.16557
19373216,14.57280
19373217,15.19368
19373218,14.88412
19373219,13.78269
19373220,14.98961
19373221,14.98621
19373222,15.34176
19373223,15.52471
19373224,15.92929
19373225,16.28366
19373226,17.36380
19373227,21.58375
19373228,21.51083
19373229,22.24375
19373230,22.40625
19373233,12.98333
19373234,18.81000
19373235,14.10500
19373236,13.94687
19373237,16.17697
19373238,20.55500
19373239,21.21000
19373240,21.64250
19373241,17.65400
19373242,17.60700
19373243,20.42250
19373244,20.78333
19373245,17.80500
19373246,13.17750
19373247,13.09800
19373248,12.73000
19373251,14.44333
19373252,13.93000
19373254,22.50723
19373255,22.69300
19373256,16.66500
19373257,16.63357
19373258,16.12000
19373259,15.98500
19373260,15.61833
19373261,15.49429
19373262,15.12750
19373263,18.91375
19373264,16.66334
19373265,16.96633
19373266,17.07000
19373267,17.92000
19373268,15.82012
19373269,18.91680
19373270,21.17333
19373271,21.98952
19373272,22.27000
19373273,21.65500
19373274,21.68815
19373275,22.08500
19373276,22.03250
19373277,22.08917
19373278,22.16000
19373279,23.41500
19373280,23.36000
19373281,23.40500
19373282,23.27500
19373291,21.30500
19373292,18.44794
19373293,22.54000
19373294,22.21750
19373295,21.20750
19373296,21.44813
19373297,21.78923
19373298,21.95018
19373299,22.06969
19373300,22.07397
19373301,22.17348
19373302,22.20354
19373303,22.20832
19373304,22.23402
19373305,21.69684
19373306,21.69306
19373307,21.87239
19373308,21.93226
19373309,21.67333
19373310,21.69625
19373311,22.81100
19373312,22.92191
19373313,22.75476
19373314,22.16437
19373315,22.34249
19373316,22.73976
19373317,22.49132
19373318,22.62300
19373319,22.14500
19373320,22.35000
19373321,22.27750
19373322,21.74632
19373323,21.65373
19373324,21.52787
19373325,21.43030
19373326,21.44222
19373327,21.56071
19373328,21.53200
19373329,21.44875
19373330,19.90125
19373331,21.73833
19373332,21.83500
19373333,21.69500
19373336,21.83537
19373337,21.99685
19373338,21.27582
19373339,21.22739
19373340,21.63372
19373341,21.34500
19373342,21.67550
19373343,21.64000
19373345,21.55038
19373346,21.24239
19373347,20.76493
19373348,19.46465
19373349,19.63500
19373350,19.52670
19373351,18.86339
19373352,18.91863
19373353,19.46453
19373354,18.11818
19373355,18.76800
19373356,18.83542
19373357,19.77426
19373358,19.79688
19373359,19.94943
19373360,19.91712
19373361,19.68629
19373362,19.13873
19373363,19.05597
19373364,19.21699
19373365,19.67853
19373366,20.41175
19373367,21.19945
19373368,20.93075
19373369,21.09609
19373370,21.02802
19373371,21.28641
19373372,21.92437
19373373,21.33750
19373374,21.52000
19373375,20.76167
19373376,21.13916
19373377,21.25500
19373378,23.15500
19373379,23.33100
19373380,22.71055
19373381,22.61608
19373382,22.20391
19373383,21.77320
19373384,22.38155
19373385,22.27387
19373386,22.49010
19373387,22.63121
19373388,22.65389
19373389,22.61867
19373390,22.56133
19373391,22.60767
19373392,22.53263
19373393,22.35450
19373394,22.59922
19373395,22.75966
19373396,22.92541
19373397,22.32121
19373398,21.89949
19373399,22.19005
19373400,23.82500
19373401,23.72083
19373402,23.06495
19373403,23.56591
19373404,23.02875
19373405,22.24054
19373406,22.32516
19373407,22.26629
19373408,21.41801
19373409,21.38646
19373410,21.41952
19373411,21.67333
19373412,21.79910
19373413,21.82123
